[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3828684803.44002,04/27/2021,11:35 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 316, MultiVu Release 2.2.1.73,APPNAME
INFO,0,MOMENT_UNITS
INFO,NTO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,28.835,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,55.27,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3828685099.05523,2.71628534793854,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,2.70080924034119,2.73121666908264,1000.05786132813,1000.05786132813,,,2.97272396087646,-99999999,1,0,0,0,0.014801025390625,29.8142719268799,2,1,1,2.73176145553589,0,2080379776,2.71586928367615,,,0.0288799533852445,0.00145583299731701,0.0291011830533273,0.00145630166084126,0.872747004032135,0.958697497844696,31.3418674468994,0.190887674689293,30,4,200,-0.00073028466431424,-1.1905425786972,0.198463752865791,1,,,,,,,,,,,,,,,,
,3828685129.18994,2.81675839424133,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,2.80081295967102,2.83235812187195,1000.05786132813,1000.05786132813,,,3.02715706825256,-99999999,1,0,0,0,0.014801025390625,29.8142719268799,2,1,1,2.83270382881165,0,2080379840,2.81631546020508,,,0.0286816314890245,0.00144585525545982,0.0289017188016623,0.00144632035339093,0.8726407289505,0.958686232566834,31.341438293457,0.190898776054382,30,4,200,-0.00072687171632424,-1.17472064495087,0.204944178462029,1,,,,,,,,,,,,,,,,
,3828685159.23372,2.91648495197296,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,2.90057730674744,2.93117809295654,1000.05786132813,1000.05786132813,,,3.07904100418091,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,2.93239259719849,0,2080379872,2.91617619991302,,,0.0284913259639515,0.00143628578111455,0.0287102495032615,0.00143673772182698,0.872515022754669,0.958711802959442,31.3409461975098,0.19088289141655,30,4,200,-0.000720360490959138,-1.17011296749115,0.200628370046616,1,,,,,,,,,,,,,,,,
,3828685189.03298,3.01589703559876,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.00004315376282,3.03120756149292,1000.05786132813,1000.05786132813,,,3.13242340087891,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,3.03175091743469,0,2080379936,3.01564128398895,,,0.0283096142644787,0.00142714238440947,0.0285272457959692,0.00142757979397946,0.872423052787781,0.958709359169006,31.3406047821045,0.190876096487045,30,4,200,-0.000709886371623725,-1.16568994522095,0.196483060717583,1,,,,,,,,,,,,,,,,
,3828685219.21136,3.11637783050537,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.10043621063232,3.13129472732544,1000.05786132813,1000.05786132813,,,3.1802933216095,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,3.13252711296082,0,2080379968,3.1161422252655,,,0.0281302141845664,0.00141810937604038,0.0283470875776804,0.00141856342268041,0.872363686561585,0.958722054958344,31.3403015136719,0.190898939967155,30,4,200,-0.000713548855856061,-1.16144239902496,0.20314659178257,1,,,,,,,,,,,,,,,,
,3828685249.25034,3.21659588813782,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.20058393478394,3.23190879821777,1000.05786132813,1000.05786132813,,,3.23240780830383,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,3.2326078414917,0,2080379968,3.21641318798065,,,0.0279572767389648,0.00140940920235665,0.028173370034887,0.00140986975246341,0.872264504432678,0.958726108074188,31.3399124145508,0.190897658467293,30,4,200,-0.000712798966560513,-1.14657485485077,0.199097126722336,1,,,,,,,,,,,,,,,,
,3828685279.24553,3.31647443771362,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.30050611495972,3.33133769035339,1000.05786132813,1000.05786132813,,,3.28035521507263,-99999999,1,0,0,0,0.0147247314453125,30.3030319213867,2,1,1,3.33244276046753,0,2080379840,3.31615767478943,,,0.0277898688134709,0.001400988573518,0.0280045815483013,0.00140142248156632,0.872162520885468,0.958743333816528,31.3395080566406,0.190888181328774,30,4,200,-0.000696238479577005,-1.14258015155792,0.19518980383873,1,,,,,,,,,,,,,,,,
,3828685309.27016,3.41642463207245,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.40057420730591,3.43108010292053,1000.05786132813,1000.05786132813,,,3.32702207565308,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,3.43227505683899,0,2080379808,3.4159334897995,,,0.0276264703973568,0.00139276368591262,0.0278402763389289,0.0013931997079468,0.872092604637146,0.958751499652863,31.3392009735107,0.190897718071938,30,4,200,-0.000688322354108095,-1.13884925842285,0.191265687346458,1,,,,,,,,,,,,,,,,
,3828685339.51447,3.51713871955872,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.50072503089905,3.53222346305847,1000.05786132813,1000.05786132813,,,3.37286305427551,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,3.53355240821838,0,2080379776,3.51674818992615,,,0.0274658772357464,0.00138468335066697,0.027679062165734,0.00138513233333868,0.872003495693207,0.95874410867691,31.3388175964355,0.190916582942009,30,4,200,-0.000679930730257183,-1.1242493391037,0.198373213410378,1,,,,,,,,,,,,,,,,
,3828685369.25138,3.61658334732056,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.60040521621704,3.63139128684998,1000.05786132813,1000.05786132813,,,3.41765999794006,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,3.63276147842407,0,2080379744,3.61625506877899,,,0.0273105485356642,0.00137686606926672,0.0275228651431325,0.00137731434137542,0.871925830841064,0.958763897418976,31.3385353088379,0.190895617008209,30,4,200,-0.000685792881995439,-1.12063407897949,0.194707632064819,1,,,,,,,,,,,,,,,,
