#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 240  48
# Band-Index    1
   0.43895    -15.070120  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.45347    -15.069825  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.46798    -15.068934  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.48250    -15.067463  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.49702    -15.065414  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.51153    -15.062787  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.52605    -15.059594  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.681
   0.54057    -15.055828  0.681  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.681
   0.55508    -15.051503  0.681  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.681
   0.56960    -15.046619  0.681  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.682
   0.58412    -15.041204  0.682  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.682
   0.59863    -15.035251  0.682  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.683
   0.61315    -15.028791  0.683  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.684
   0.62767    -15.021829  0.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.684
   0.64218    -15.014385  0.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.685
   0.65670    -15.006456  0.685  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.686
   0.67122    -14.998071  0.686  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.687
   0.68573    -14.989250  0.687  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.688
   0.70025    -14.980011  0.688  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.688
   0.71477    -14.970373  0.689  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.689
   0.72928    -14.960356  0.690  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.690
   0.74380    -14.949994  0.691  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.692
   0.75832    -14.939296  0.692  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.693
   0.77283    -14.928295  0.693  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.694
   0.78735    -14.917017  0.694  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.695
   0.80187    -14.905483  0.695  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
   0.81638    -14.893729  0.697  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.697
   0.83090    -14.881784  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.699
   0.84542    -14.869678  0.699  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   0.85993    -14.857447  0.701  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.701
   0.87445    -14.845124  0.702  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.703
   0.88897    -14.832734  0.703  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.704
   0.90349    -14.820314  0.705  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.705
   0.91800    -14.807903  0.706  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.707
   0.93252    -14.795539  0.708  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.708
   0.94704    -14.783245  0.709  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.710
   0.96155    -14.771071  0.710  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.711
   0.97607    -14.759051  0.712  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.712
   0.99059    -14.747228  0.713  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.714
   1.00510    -14.735633  0.715  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.715
   1.01962    -14.724306  0.716  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.717
   1.03414    -14.713286  0.717  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.718
   1.04865    -14.702607  0.719  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.719
   1.06317    -14.692310  0.720  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.720
   1.07769    -14.682420  0.721  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.722
   1.09220    -14.672985  0.722  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.723
   1.10672    -14.664037  0.723  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.724
   1.12124    -14.655606  0.724  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.725
   1.13575    -14.647720  0.725  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.726
   1.15027    -14.640408  0.726  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.727
   1.16479    -14.633699  0.727  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.728
   1.17930    -14.627626  0.728  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.728
   1.19382    -14.622193  0.729  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.729
   1.20834    -14.617454  0.729  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.730
   1.22285    -14.613404  0.730  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.730
   1.23737    -14.610096  0.730  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.731
   1.25189    -14.607498  0.731  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.731
   1.26640    -14.605634  0.731  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.731
   1.28092    -14.604513  0.731  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.731
   1.29544    -14.604132  0.731  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.731
   1.29544    -14.604132  0.731  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.731
   1.31058    -14.604515  0.731  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.731
   1.32571    -14.605654  0.731  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.731
   1.34085    -14.607526  0.731  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.731
   1.35599    -14.610165  0.730  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.731
   1.37113    -14.613539  0.730  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.730
   1.38627    -14.617650  0.729  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.730
   1.40141    -14.622480  0.729  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.729
   1.41655    -14.627986  0.728  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.728
   1.43169    -14.634151  0.727  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.727
   1.44683    -14.640960  0.726  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.726
   1.46196    -14.648383  0.725  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.725
   1.47710    -14.656397  0.724  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.724
   1.49224    -14.664974  0.723  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.723
   1.50738    -14.674077  0.722  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.722
   1.52252    -14.683671  0.720  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.721
   1.53766    -14.693731  0.719  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.720
   1.55280    -14.704220  0.718  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.718
   1.56794    -14.715110  0.716  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.717
   1.58308    -14.726343  0.715  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.715
   1.59821    -14.737889  0.713  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.714
   1.61335    -14.749708  0.712  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.712
   1.62849    -14.761763  0.710  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.711
   1.64363    -14.774017  0.709  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.709
   1.65877    -14.786435  0.707  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.708
   1.67391    -14.798970  0.706  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.706
   1.68905    -14.811601  0.704  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.705
   1.70419    -14.824278  0.703  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.703
   1.71933    -14.836976  0.701  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.702
   1.73446    -14.849649  0.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   1.74960    -14.862264  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.699
   1.76474    -14.874784  0.697  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.697
   1.77988    -14.887169  0.695  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
   1.79502    -14.899391  0.694  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.694
   1.81016    -14.911422  0.692  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.693
   1.82530    -14.923228  0.691  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.692
   1.84044    -14.934782  0.690  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.690
   1.85558    -14.946051  0.688  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.689
   1.87071    -14.957012  0.687  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.688
   1.88585    -14.967647  0.686  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.687
   1.90099    -14.977915  0.685  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.686
   1.91613    -14.987805  0.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.684
   1.93127    -14.997281  0.683  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.683
   1.94641    -15.006332  0.682  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.682
   1.96155    -15.014934  0.681  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.682
   1.97669    -15.023070  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.681
   1.99183    -15.030717  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   2.00696    -15.037863  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   2.02210    -15.044492  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   2.03724    -15.050593  0.677  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   2.05238    -15.056156  0.677  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   2.06752    -15.061165  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   2.08266    -15.065610  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   2.09780    -15.069483  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   2.11294    -15.072771  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   2.12808    -15.075467  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   2.14321    -15.077573  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
