# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.62703462    0.37429342   -0.15917217    0.00034170    0.90215429   -0.39005262    0.55401431   -0.40605770
   -0.02159586   -0.73534926   -0.15953609    0.00003109    0.89575330   -0.41674616   -0.38423132    0.55832797
   -0.62590480    0.38746881   -0.15837529    0.00062797    0.89494675   -0.38307164    0.55929422   -0.41710655
   -0.63020464    0.40214923   -0.15751275    0.00092832    0.88964045   -0.37949071    0.56934902   -0.42943039
   -0.65498788    0.34625492   -0.15955389    0.00052521    0.89187160   -0.42347585    0.56267768   -0.38187843
   -0.62898037    0.36867619   -0.15951341    0.00022205    0.90407021   -0.39413181    0.55286465   -0.40134787
   -0.62737480    0.37312100   -0.15929631    0.00031626    0.90262382   -0.39088122    0.55369790   -0.40510150
   -0.63279328    0.36181555   -0.15979419    0.00007995    0.90438966   -0.40012639    0.55261082   -0.39552653
   -0.62990976    0.36668020   -0.15962331    0.00018332    0.90442359   -0.39575471    0.55264106   -0.39966854
   -0.63787408    0.35586884   -0.15986812    0.00007420    0.90211321   -0.40657333    0.55381356   -0.39039476
   -0.62900500    0.36861206   -0.15949468    0.00022083    0.90409557   -0.39416873    0.55286482   -0.40128262
   -0.63541790    0.35845017   -0.15987089    0.00000011    0.90345888   -0.40360379    0.55308506   -0.39264002
   -0.62701286    0.37437234   -0.15916874    0.00034589    0.90211782   -0.39000020    0.55403397   -0.40612457
   -0.62929105    0.36797261   -0.15954644    0.00020798    0.90422090   -0.39468824    0.55277599   -0.40075301
   -0.62629359    0.37776662   -0.15893478    0.00040746    0.90047766   -0.38786486    0.55508638   -0.40895647
   -0.62846104    0.39840731   -0.15773535    0.00085583    0.89019426   -0.37991734    0.56629723   -0.42629054
   -0.63086602    0.36488710   -0.15968899    0.00014618    0.90457482   -0.39728721    0.55254830   -0.39814317
   -0.62965020    0.36719024   -0.15956219    0.00019441    0.90437018   -0.39530664    0.55269833   -0.40008091
   -0.63327105    0.36113989   -0.15980827    0.00006771    0.90426900   -0.40078685    0.55266969   -0.39494634
   -0.63213771    0.36278648   -0.15974343    0.00010243    0.90452224   -0.39918514    0.55256504   -0.39634478
   -0.63528132    0.35860854   -0.15987131    0.00000485    0.90351911   -0.40343235    0.55305086   -0.39277789
    0.65711033    0.34579342   -0.15956255    0.00090120    0.89096919    0.56407049   -0.42527860   -0.38148165
   -0.62650934    0.39194229   -0.15808771    0.00073670    0.89260452   -0.38143663    0.56183944   -0.42084938
    0.65703687    0.34580625   -0.15959432    0.00091083    0.89097291    0.56400466   -0.42523383   -0.38150892
   -0.62976093    0.36696402   -0.15956561    0.00018870    0.90440768   -0.39549005    0.55268164   -0.39988601
   -0.63606779    0.35772223   -0.15988223    0.00001898    0.90312902   -0.40441516    0.55325217   -0.39201300
   -0.63552853    0.35832348   -0.15987437    0.00000515    0.90340304   -0.40374390    0.55311151   -0.39253165
    0.02045330    0.73446133    0.15801566    0.00000296    0.89641253    0.41472928    0.38393468   -0.55832697
   -0.62768962    0.37211013   -0.15933712    0.00029156    0.90302531   -0.39157826    0.55347485   -0.40424348
   -0.02138444   -0.73521288   -0.15954939    0.00004969    0.89587135   -0.41653448   -0.38433795    0.55820267
   -0.62661869    0.37617653   -0.15916842    0.00038709    0.90121463   -0.38891915    0.55452157   -0.40769272
   -0.66159417    0.34520127   -0.15954670    0.00067839    0.89009658   -0.42890339    0.56719661   -0.38095889
   -0.02110509   -0.73501676   -0.15947998    0.00009056    0.89606168   -0.41620376   -0.38442781    0.55806739
   -0.62669197    0.39285432   -0.15791206    0.00074376    0.89223957   -0.38108867    0.56246237   -0.42155312
   -0.01967467   -0.73412743   -0.15946889    0.00022357    0.89690683   -0.41473478   -0.38511248    0.55729995
   -0.64767778    0.34898612   -0.15970053    0.00033555    0.89568543   -0.41686007    0.55828734   -0.38432690
   -0.63830921    0.35546543   -0.15991515    0.00008642    0.90182672   -0.40710008    0.55394195   -0.39006793
   -0.63177820    0.36335562   -0.15976413    0.00011661    0.90454579   -0.39867762    0.55253127   -0.39685001
   -0.62841173    0.39831524   -0.15773673    0.00085941    0.89021478   -0.37992094    0.56621939   -0.42621121
   -0.63612429    0.35765893   -0.15987986    0.00002174    0.90310013   -0.40448401    0.55326838   -0.39195676
   -0.63377990    0.36046833   -0.15984743    0.00005184    0.90410167   -0.40148165    0.55274102   -0.39438243
   -0.62686379    0.39363391   -0.15783154    0.00077322    0.89190370   -0.38083836    0.56297138   -0.42218997
   -0.62968718    0.40114987   -0.15760880    0.00091154    0.88969711   -0.37958422    0.56847643   -0.42861038
   -0.62644274    0.39155865   -0.15810276    0.00071448    0.89279983   -0.38156087    0.56161493   -0.42052353
   -0.01438773   -0.73153370   -0.15949435    0.00066358    0.89979208   -0.40964035   -0.38797810    0.55503241
   -0.62693991    0.37463862   -0.15910495    0.00034785    0.90202259   -0.38979721    0.55412713   -0.40632370
   -0.62605792    0.37926769   -0.15878687    0.00044511    0.89969401   -0.38696004    0.55563636   -0.41018630
   -0.62584155    0.38194475   -0.15875180    0.00050291    0.89811676   -0.38561585    0.55665480   -0.41249559
   -0.65385304    0.34660091   -0.15969305    0.00049524    0.89230469   -0.42254171    0.56190320   -0.38224974
   -0.02138168   -0.73520958   -0.15953445    0.00004864    0.89588030   -0.41652340   -0.38433102    0.55820738
   -0.62704899    0.37424781   -0.15914025    0.00033615    0.90219116   -0.39006708    0.55402150   -0.40600188
   -0.62576498    0.38361092   -0.15862348    0.00053817    0.89716465   -0.38476898    0.55738638   -0.41387887
   -0.63519297    0.35871035   -0.15986806    0.00000805    0.90355899   -0.40331995    0.55303025   -0.39286475
    0.03307903   -0.74667191   -0.15748420    0.00096073    0.88961544   -0.37946764   -0.42927162    0.56921060
   -0.62650716    0.39192198   -0.15805181    0.00072229    0.89263749   -0.38142562    0.56184717   -0.42081353
   -0.62983333    0.36681358   -0.15956160    0.00018690    0.90443379   -0.39560791    0.55267279   -0.39975320
   -0.63109300    0.36447440   -0.15966620    0.00013956    0.90460362   -0.39762590    0.55255135   -0.39777287
   -0.62576025    0.38551316   -0.15839818    0.00057754    0.89611165   -0.38382441    0.55832382   -0.41541819
   -0.62773637    0.39654077   -0.15769077    0.00082161    0.89079093   -0.38016046    0.56496304   -0.42464542
   -0.62779170    0.37177664   -0.15934525    0.00028718    0.90315295   -0.39180417    0.55340262   -0.40395771
