[Header]
TITLE,20201219-Sample 4.9mg.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,4.9,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3817577617.8845,,1857,60.56,60.56,0.14560908,9.8999999E-6,60.993436,1.3209955,747.29856,1.879,843.83492,0.6572,1591.1335,1.879,0.1328708,27.720072,0.79394062,89.172434,,,1,,,,5.8984071E-5,62.234829,3720.1992,12.252115,0
3817577836.81041,,1857,60.56,60.56,0.15774317,9.8999999E-6,60.890934,1.2062816,749.54799,1.555,841.45932,0.6561,1591.0073,1.555,0.2132208,28.042349,0.83318225,88.791292,,,1,,,,5.8375642E-5,55.440144,3707.7058,12.309681,0
3817578057.29106,,1857,60.5594,60.5594,0.12134091,9.8999999E-6,60.869124,1.2160684,750.66862,1.313,840.9047,0.6558,1591.5733,1.313,0.4194035,28.217315,0.84423092,88.717543,,,1,,,,5.8050522E-5,56.084698,3705.0503,12.332502,0
3817578836.21728,,1857,54.7792,54.7792,0.10920681,9.8999999E-6,55.160648,1.1991767,635.7747,1.745,705.79856,0.5798,1341.5733,1.745,0.12982421,24.995066,0.72109285,89.097998,,,1,,,,5.5193563E-5,56.434631,3042.6971,11.525874,0
3817579035.95746,,1857,54.78,54.78,0.08493863,9.8999999E-6,55.062017,1.0947339,637.73322,1.362,703.71075,0.5784,1341.444,1.362,0.24533928,25.311888,0.75765131,88.71149,,,1,,,,5.4569255E-5,49.990133,3031.8257,11.58209,0
3817579237.84048,,1857,54.7789,54.7789,0.10920681,9.8999999E-6,55.045033,1.105881,637.76316,1.191,703.3854,0.5782,1341.1486,1.191,0.51081114,25.496365,0.7740423,88.559907,,,1,,,,5.418775E-5,50.623775,3029.9557,11.586207,0
3817579949.21912,,1857,49.5511,49.5511,0.10920681,9.8999999E-6,49.876136,1.0917239,535.0918,1.456,590.67667,0.5066,1125.7685,1.456,0.14840856,22.531953,0.65570348,89.007758,,,1,,,,5.1400235E-5,50.99273,2487.6289,10.728413,0
3817580130.99064,,1857,49.551,49.551,0.10920681,9.8999999E-6,49.787721,0.9981589,536.7192,1.161,588.99519,0.5056,1125.7144,1.161,0.30339222,22.801258,0.68749741,88.632805,,,1,,,,5.0856201E-5,45.063906,2478.8172,10.780152,0
3817580315.69975,,1857,49.5514,49.5514,0.10920681,9.8999999E-6,49.772286,1.0067012,537.32588,0.9928,588.65916,0.5055,1125.985,0.9928,0.83571808,22.943507,0.69583395,88.569815,,,1,,,,5.0565219E-5,45.602516,2477.2805,10.795684,0
3817580950.91147,,1857,44.8221,44.8221,0.37615678,9.8999999E-6,45.09741,0.99363821,444.69591,1.207,496.22267,0.4481,940.91858,1.207,0.18283203,20.199219,0.59391125,88.901013,,,1,,,,4.7921469E-5,45.887015,2033.7764,9.860786,0
