SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-soc_ncol-U=0-AFM-221-stripe1-z,0,-118.25246961,4,-29.5631174025,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-221-stripe2-z,0,-118.25060739,4,-29.5626518475,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-112-z,0,-59.19044031,2,-29.595220155,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=0-FM-gen3gen31-z,0,-88.78800586,3,-29.5960019533333,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-gen3gen31-upupd,0,-88.74075484,3,-29.5802516133333,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=0-FM-221-z,0,-118.375677,4,-29.59391925,16,168,1,1,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=0-FM-origin-z,0,-29.59470242,1,-29.59470242,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-221-stripe3-z,0,-118.37563349,4,-29.5939083725,16,168,1,1,0,0,4,12,CONVERGE
NaTmO2-soc_ncol-U=0-FM-112-z,0,-59.19026832,2,-29.59513416,8,84,1,1,6,6,6,6,CONVERGE
