SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-soc_ncol-U=0-AFM-221-stripe2-x,0,-118.21210589,4,-29.5530264725,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-221-stripe1-x,0,-118.22680612,4,-29.55670153,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=0-FM-112-x,0,-59.19553494,2,-29.59776747,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-112-x,0,-59.19566188,2,-29.59783094,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=0-PM-origin,0,-29.29082882,1,-29.29082882,4,42,1,1,0,0,0,0,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-gen3gen31-120,0,-88.79653113,3,-29.59884371,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=0-FM-gen3gen31-x,0,-88.79197041,3,-29.59732347,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=0-FM-origin-x,0,-29.5972844,1,-29.5972844,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=0-FM-221-x,0,-118.3745151,4,-29.593628775,16,168,1,1,12,12,12,12,CONVERGE
