SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_ncol-U=9-AFM-221-stripe2-x,9,-113.80990462,4,-28.452476155,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-221-stripe3-x,9,-113.84019997,4,-28.4600499925,16,168,1,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-221-stripe1-x,9,-113.80948645,4,-28.4523716125,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-112-x,9,-57.15030859,2,-28.575154295,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-112-x,9,-56.91532561,2,-28.457662805,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=9-PM-origin,9,-26.50251757,1,-26.50251757,4,42,1,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-gen3gen31-120,9,-85.69312543,3,-28.5643751433333,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-gen3gen31-x,9,-85.35483164,3,-28.4516105466667,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-origin-x,9,-28.53450894,1,-28.53450894,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-221-x,9,-113.82975984,4,-28.45743996,16,168,1,0,12,12,12,12,CONVERGE
