SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_col-U=0-FM-origin,0,-28.39479344,1,-28.39479344,4,42,0,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_col-U=0-AFM-221-stripe3,0,-113.56415868,4,-28.39103967,16,168,0,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_col-U=0-FM-221,0,-113.5654773,4,-28.391369325,16,168,0,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_col-U=0-AFM-221-stripe2,0,-113.34188897,4,-28.3354722425,16,168,0,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_col-U=0-FM-gen3gen31,0,-85.17755736,3,-28.39251912,12,126,0,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_col-U=0-AFM-gen3gen31-upup,0,-84.97662999,3,-28.32554333,12,126,0,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_col-U=0-PM-origin,0,-27.81588665,1,-27.81588665,4,42,0,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_col-U=0-AFM-221-stripe1,0,-113.34258106,4,-28.335645265,16,168,0,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_col-U=0-AFM-112,0,-56.79039154,2,-28.39519577,8,84,0,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_col-U=0-FM-112,0,-56.7904729,2,-28.39523645,8,84,0,0,6,6,6,6,CONVERGE
