SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_ncol-U=0-AFM-221-stripe2-x,0,-113.34309815,4,-28.3357745375,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-221-stripe3-x,0,-113.38925291,4,-28.3473132275,16,168,1,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-221-stripe1-x,0,-113.34378503,4,-28.3359462575,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-112-x,0,-56.79122038,2,-28.39561019,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-112-x,0,-56.79113538,2,-28.39556769,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=0-PM-origin,0,-27.81586991,1,-27.81586991,4,42,1,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-gen3gen31-120,0,-85.17865702,3,-28.3928856733333,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-gen3gen31-x,0,-85.17864344,3,-28.3928811466667,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-origin-x,0,-28.39514628,1,-28.39514628,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-221-x,0,-113.56688626,4,-28.391721565,16,168,1,0,12,12,12,12,CONVERGE
