SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_ncol-U=0-AFM-221-stripe1-z,0,-113.34378163,4,-28.3359454075,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-221-stripe2-z,0,-113.34309814,4,-28.335774535,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-112-z,0,-56.79115258,2,-28.39557629,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-gen3gen31-z,0,-85.17864345,3,-28.39288115,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-gen3gen31-upu,0,-84.97739854,3,-28.3257995133333,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-221-z,0,-113.56688726,4,-28.391721815,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-origin-z,0,-28.39514613,1,-28.39514613,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-221-stripe3-z,0,-113.56688585,4,-28.3917214625,16,168,1,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-112-z,0,-56.79122184,2,-28.39561092,8,84,1,0,6,6,6,6,CONVERGE
