#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 240  24
# Band-Index    1
   2.53610    -14.995450  0.048  0.000  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.054
   2.55062    -14.991592  0.048  0.000  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.054
   2.56514    -14.987150  0.046  0.000  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.054
   2.57965    -14.982148  0.046  0.000  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.054
   2.59417    -14.976591  0.046  0.000  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.054
   2.60869    -14.970491  0.046  0.002  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.054
   2.62320    -14.963874  0.044  0.002  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.054
   2.63772    -14.956734  0.044  0.002  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.054
   2.65224    -14.949088  0.044  0.002  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.054
   2.66675    -14.940953  0.044  0.002  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.052
   2.68127    -14.932348  0.042  0.002  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.052
   2.69579    -14.923289  0.042  0.002  0.004  0.000  0.000  0.000  0.002  0.000  0.002  0.052
   2.71030    -14.913806  0.040  0.004  0.004  0.000  0.000  0.000  0.002  0.000  0.002  0.052
   2.72482    -14.903907  0.040  0.004  0.004  0.000  0.000  0.000  0.002  0.000  0.002  0.052
   2.73934    -14.893620  0.040  0.004  0.004  0.000  0.000  0.002  0.002  0.000  0.002  0.052
   2.75385    -14.882965  0.038  0.004  0.004  0.000  0.000  0.002  0.002  0.000  0.002  0.050
   2.76837    -14.871971  0.038  0.004  0.004  0.000  0.000  0.002  0.002  0.000  0.002  0.050
   2.78289    -14.860664  0.036  0.004  0.004  0.000  0.000  0.002  0.002  0.000  0.002  0.050
   2.79740    -14.849073  0.036  0.006  0.004  0.000  0.000  0.002  0.002  0.000  0.002  0.050
   2.81192    -14.837225  0.034  0.006  0.004  0.000  0.000  0.002  0.002  0.000  0.002  0.050
   2.82644    -14.825142  0.034  0.006  0.004  0.000  0.000  0.002  0.002  0.000  0.002  0.048
   2.84095    -14.812858  0.032  0.006  0.004  0.000  0.000  0.002  0.002  0.000  0.002  0.048
   2.85547    -14.800407  0.032  0.006  0.004  0.000  0.000  0.002  0.002  0.000  0.002  0.048
   2.86999    -14.787821  0.030  0.008  0.004  0.000  0.000  0.002  0.002  0.000  0.002  0.048
   2.88450    -14.775131  0.030  0.008  0.002  0.000  0.000  0.002  0.002  0.000  0.004  0.046
   2.89902    -14.762368  0.028  0.008  0.002  0.000  0.000  0.002  0.002  0.000  0.004  0.046
   2.91354    -14.749591  0.026  0.008  0.002  0.000  0.000  0.002  0.002  0.000  0.004  0.046
   2.92806    -14.736805  0.026  0.010  0.002  0.000  0.000  0.002  0.002  0.000  0.004  0.044
   2.94257    -14.724062  0.024  0.010  0.002  0.000  0.000  0.002  0.002  0.000  0.004  0.044
   2.95709    -14.711402  0.024  0.010  0.002  0.000  0.000  0.002  0.002  0.000  0.004  0.044
   2.97161    -14.698866  0.022  0.010  0.002  0.000  0.000  0.002  0.002  0.000  0.004  0.044
