#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  20
# Band-Index    1
   1.47437    -14.302136  0.602  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.48880    -14.301649  0.602  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.50323    -14.300188  0.602  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.51765    -14.297753  0.602  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.53208    -14.294344  0.600  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.54651    -14.289973  0.600  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.56094    -14.284630  0.600  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.57536    -14.278327  0.600  0.034  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.58979    -14.271027  0.600  0.034  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.60422    -14.262773  0.600  0.034  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.61865    -14.253528  0.598  0.034  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.63307    -14.243341  0.598  0.036  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.64750    -14.232077  0.598  0.036  0.000  0.098  0.000  0.000  0.000  0.000  0.000  0.730
   1.66193    -14.219920  0.596  0.036  0.000  0.098  0.000  0.000  0.000  0.000  0.000  0.730
   1.67636    -14.206788  0.596  0.038  0.000  0.098  0.000  0.000  0.000  0.000  0.000  0.730
   1.69078    -14.192684  0.596  0.038  0.000  0.098  0.000  0.000  0.000  0.000  0.000  0.730
   1.70521    -14.177608  0.594  0.038  0.000  0.098  0.000  0.000  0.000  0.000  0.000  0.730
   1.71964    -14.161544  0.594  0.040  0.000  0.098  0.000  0.000  0.000  0.000  0.000  0.732
   1.73407    -14.144563  0.592  0.040  0.000  0.098  0.000  0.000  0.000  0.000  0.000  0.732
   1.74849    -14.126575  0.592  0.042  0.000  0.098  0.000  0.000  0.000  0.000  0.000  0.732
   1.76292    -14.107617  0.590  0.042  0.000  0.100  0.000  0.000  0.000  0.000  0.000  0.732
   1.77735    -14.087688  0.588  0.044  0.000  0.100  0.000  0.000  0.000  0.000  0.000  0.732
   1.79178    -14.066789  0.588  0.046  0.000  0.100  0.000  0.000  0.000  0.000  0.000  0.732
   1.80620    -14.044919  0.586  0.046  0.000  0.100  0.000  0.000  0.000  0.000  0.000  0.732
   1.82063    -14.022075  0.584  0.048  0.000  0.100  0.000  0.000  0.000  0.000  0.000  0.732
   1.83506    -13.998264  0.584  0.048  0.000  0.100  0.000  0.000  0.000  0.000  0.000  0.732
   1.84949    -13.973486  0.582  0.050  0.000  0.102  0.000  0.000  0.000  0.000  0.000  0.734
   1.86391    -13.947740  0.580  0.052  0.000  0.102  0.000  0.000  0.000  0.000  0.000  0.734
   1.87834    -13.921076  0.578  0.054  0.000  0.102  0.000  0.000  0.000  0.000  0.000  0.734
   1.89277    -13.893397  0.576  0.054  0.000  0.102  0.000  0.000  0.000  0.000  0.000  0.734
   1.90720    -13.864751  0.574  0.056  0.000  0.104  0.000  0.000  0.000  0.000  0.000  0.734
   1.92163    -13.835139  0.574  0.058  0.000  0.104  0.000  0.000  0.000  0.000  0.000  0.734
   1.93605    -13.804560  0.572  0.060  0.000  0.104  0.000  0.000  0.000  0.000  0.000  0.734
   1.95048    -13.773015  0.570  0.062  0.000  0.104  0.000  0.000  0.000  0.000  0.000  0.734
   1.96491    -13.740504  0.568  0.062  0.000  0.106  0.000  0.000  0.000  0.000  0.000  0.736
   1.97934    -13.707016  0.566  0.064  0.000  0.106  0.000  0.000  0.000  0.000  0.000  0.736
   1.99376    -13.672577  0.564  0.066  0.000  0.106  0.000  0.000  0.000  0.000  0.000  0.736
   2.00819    -13.637190  0.562  0.068  0.000  0.106  0.000  0.000  0.000  0.000  0.000  0.736
   2.02262    -13.600826  0.558  0.070  0.000  0.108  0.000  0.000  0.000  0.000  0.000  0.736
   2.03705    -13.563500  0.556  0.072  0.000  0.108  0.000  0.000  0.000  0.000  0.000  0.736
   2.05147    -13.525279  0.554  0.074  0.000  0.108  0.000  0.000  0.000  0.000  0.000  0.738
   2.06590    -13.486036  0.552  0.076  0.000  0.110  0.000  0.000  0.000  0.000  0.000  0.738
   2.08033    -13.445834  0.550  0.078  0.000  0.110  0.000  0.000  0.000  0.000  0.000  0.738
   2.09476    -13.404673  0.548  0.080  0.000  0.110  0.000  0.000  0.000  0.000  0.000  0.738
   2.10918    -13.362531  0.544  0.084  0.000  0.112  0.000  0.000  0.000  0.000  0.000  0.738
   2.12361    -13.319455  0.542  0.086  0.000  0.112  0.000  0.000  0.000  0.000  0.000  0.740
   2.13804    -13.275423  0.540  0.088  0.000  0.112  0.000  0.000  0.000  0.000  0.000  0.740
